DeepCSV; OP,measurement,sysType,jetFlavour,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,lt,central,0,-2.5,2.5,30,120,0,1,0.90419
0,lt,up,0,-2.5,2.5,30,120,0,1,0.98312
0,lt,down,0,-2.5,2.5,30,120,0,1,0.82527
0,lt,central,1,-2.5,2.5,30,120,0,1,0.90419
0,lt,up,1,-2.5,2.5,30,120,0,1,1.06206
0,lt,down,1,-2.5,2.5,30,120,0,1,0.74636
0,lt,central,0,-2.5,2.5,120,180,0,1,0.95258
0,lt,up,0,-2.5,2.5,120,180,0,1,1.00607
0,lt,down,0,-2.5,2.5,120,180,0,1,0.88771
0,lt,central,1,-2.5,2.5,120,180,0,1,0.95258
0,lt,up,1,-2.5,2.5,120,180,0,1,1.05957
0,lt,down,1,-2.5,2.5,120,180,0,1,0.82285
0,lt,central,0,-2.5,2.5,180,240,0,1,0.9673
0,lt,up,0,-2.5,2.5,180,240,0,1,1.00834
0,lt,down,0,-2.5,2.5,180,240,0,1,0.92587
0,lt,central,1,-2.5,2.5,180,240,0,1,0.9673
0,lt,up,1,-2.5,2.5,180,240,0,1,1.04937
0,lt,down,1,-2.5,2.5,180,240,0,1,0.88443
0,lt,central,0,-2.5,2.5,240,450,0,1,0.97097
0,lt,up,0,-2.5,2.5,240,450,0,1,1.01605
0,lt,down,0,-2.5,2.5,240,450,0,1,0.91614
0,lt,central,1,-2.5,2.5,240,450,0,1,0.97097
0,lt,up,1,-2.5,2.5,240,450,0,1,1.06113
0,lt,down,1,-2.5,2.5,240,450,0,1,0.86131
1,lt,central,0,-2.5,2.5,30,120,0,1,0.88846
1,lt,up,0,-2.5,2.5,30,120,0,1,1.01523
1,lt,down,0,-2.5,2.5,30,120,0,1,0.76157
1,lt,central,1,-2.5,2.5,30,120,0,1,0.88846
1,lt,up,1,-2.5,2.5,30,120,0,1,1.14199
1,lt,down,1,-2.5,2.5,30,120,0,1,0.63467
1,lt,central,0,-2.5,2.5,120,180,0,1,0.84588
1,lt,up,0,-2.5,2.5,120,180,0,1,1.00446
1,lt,down,0,-2.5,2.5,120,180,0,1,0.68689
1,lt,central,1,-2.5,2.5,120,180,0,1,0.84588
1,lt,up,1,-2.5,2.5,120,180,0,1,1.16304
1,lt,down,1,-2.5,2.5,120,180,0,1,0.5279
1,lt,central,0,-2.5,2.5,180,240,0,1,0.96052
1,lt,up,0,-2.5,2.5,180,240,0,1,1.06232
1,lt,down,0,-2.5,2.5,180,240,0,1,0.86436
1,lt,central,1,-2.5,2.5,180,240,0,1,0.96052
1,lt,up,1,-2.5,2.5,180,240,0,1,1.16413
1,lt,down,1,-2.5,2.5,180,240,0,1,0.76819
1,lt,central,0,-2.5,2.5,240,450,0,1,0.90151
1,lt,up,0,-2.5,2.5,240,450,0,1,1.01668
1,lt,down,0,-2.5,2.5,240,450,0,1,0.78617
1,lt,central,1,-2.5,2.5,240,450,0,1,0.90151
1,lt,up,1,-2.5,2.5,240,450,0,1,1.13184
1,lt,down,1,-2.5,2.5,240,450,0,1,0.67083
